Id,Gender,avg(Age),avg(AvgTime)
2111,M,21.0000,15228.500000000
2112,F,47.0000,17672.000000000
2113,M,42.6667,14595.666666666
2114,M,47.0000,19776.000000000
2115,M,52.0000,20791.000000000
2116,M,42.0000,15714.000000000
2117,M,22.5000,16981.250000000
2118,M,27.0000,19586.000000000
2119,F,37.0000,16149.000000000
2120,M,27.0000,17923.000000000
2121,F,27.0000,14790.000000000
2122,M,37.0000,15025.000000000
2123,M,42.0000,11813.000000000
2124,M,34.5000,16242.000000000
2125,M,47.0000,16142.000000000
2127,M,21.0000,15789.000000000
2128,M,47.0000,14660.000000000
2129,F,53.0000,18831.600000000
2130,M,35.5000,13576.250000000
2131,F,25.2000,14375.800000000
2132,M,37.0000,13558.000000000
2133,M,35.5000,18703.500000000
2134,M,27.0000,12239.000000000
2135,F,40.3333,16323.333333333
2136,M,27.0000,16464.000000000
2137,M,32.0000,17007.000000000
2138,F,42.0000,16565.000000000
2139,M,39.7000,14417.000000000
2140,M,46.3333,15150.555555555
2141,M,57.0000,16357.000000000
2142,M,52.0000,15273.000000000
2143,M,57.0000,23555.000000000
2144,M,52.6667,12001.333333333
2145,M,42.0000,14130.000000000
2146,M,42.0000,16011.000000000
2147,F,32.4000,19209.200000000
2148,F,43.0000,14780.500000000
2149,F,46.6667,17557.000000000
2150,M,21.0000,13136.500000000
2151,F,27.0000,17197.000000000
2152,M,27.0000,16218.000000000
2153,F,52.0000,20156.000000000
2154,M,37.0000,12826.000000000
2155,M,42.0000,18566.333333333
2156,M,52.0000,13484.000000000
2157,F,33.0000,16180.500000000
2158,M,27.0000,13882.000000000
2159,F,50.5000,18227.000000000
2160,M,27.0000,14451.000000000
2161,F,22.2500,14649.000000000
2162,F,52.5000,16316.750000000
2163,M,37.0000,23736.000000000
2164,M,57.0000,14942.000000000
2165,F,37.0000,19493.000000000
2166,M,27.0000,18685.000000000
2167,F,21.0000,10167.000000000
2168,M,21.0000,18711.000000000
2169,F,21.0000,19653.000000000
2170,M,47.0000,11215.000000000
2171,M,47.0000,14907.000000000
2172,M,57.0000,13617.000000000
2173,F,41.5455,16774.000000000
2174,M,42.0000,14617.500000000
2175,M,22.5000,10887.000000000
2176,M,33.0000,13670.500000000
2177,F,32.0000,21054.000000000
2178,F,35.0000,20832.200000000
2179,F,35.0000,14057.333333333
2180,M,46.0000,18193.000000000
2181,M,27.0000,14089.000000000
2182,M,43.0000,13637.250000000
2184,F,27.0000,21600.000000000
2185,M,21.0000,21159.000000000
2186,F,57.0000,24162.000000000
2187,F,21.0000,19912.000000000
2188,M,21.0000,15022.000000000
2189,M,42.0000,17882.000000000
2190,F,32.0000,15036.000000000
2191,M,21.0000,13988.000000000
2192,F,39.3333,13911.333333333
2193,M,32.0000,23912.000000000
2194,M,32.0000,25949.000000000
2195,M,47.0000,12530.000000000
2196,M,27.0000,13068.000000000
2197,F,42.0000,15261.000000000
2198,M,32.0000,14897.000000000
2199,M,32.0000,15612.000000000
2200,F,32.0000,20810.000000000
2201,M,38.5000,12765.000000000
2202,F,27.0000,19796.000000000
2203,F,32.0000,15956.000000000
2204,M,37.0000,14345.000000000
2205,M,57.0000,17762.000000000
2206,M,32.0000,16467.000000000
2207,M,30.3333,15394.000000000
2208,F,22.5000,17083.500000000
2209,F,53.4545,16288.727272727
2210,M,44.2000,14029.600000000
2211,M,42.0000,17677.000000000
2212,F,21.0000,21938.000000000
2213,M,57.0000,23626.000000000
2214,M,32.0000,18025.000000000
2215,M,32.0000,21600.000000000
2216,M,32.0000,13277.000000000
2217,M,62.0000,15519.000000000
2218,M,27.0000,15099.666666666
2219,M,52.0000,18711.750000000
2220,M,27.0000,20112.000000000
2221,M,49.5000,14011.000000000
2222,M,32.0000,13952.000000000
2223,M,29.5000,15949.500000000
2224,M,27.0000,27549.000000000
2225,M,21.0000,18200.000000000
2226,M,47.0000,14589.000000000
2227,M,25.5000,11479.000000000
2228,M,32.0000,19410.000000000
2229,M,42.0000,21913.000000000
2230,M,32.0000,14298.000000000
2231,M,42.0000,20340.000000000
2233,F,32.0000,15103.000000000
2234,M,44.5000,16864.000000000
2235,M,32.0000,13460.000000000
2236,M,52.0000,13552.000000000
2237,M,21.0000,18629.000000000
2239,M,25.5000,12055.000000000
2240,M,27.0000,14750.000000000
2241,F,36.1429,17299.000000000
2242,M,32.0000,21600.000000000
2243,M,52.0000,16362.000000000
2244,F,27.0000,15022.000000000
2245,F,45.5000,19455.500000000
2246,M,21.0000,11971.000000000
2247,M,21.0000,12839.000000000
2248,F,27.0000,16589.000000000
2249,M,37.0000,17859.000000000
2250,F,42.0000,18135.000000000
2251,M,27.0000,20251.000000000
2252,M,52.0000,13769.000000000
2253,M,42.0000,12923.000000000
2254,M,32.0000,11531.000000000
2255,M,43.3333,14684.333333333
2256,F,32.0000,15790.333333333
2257,M,32.0000,14258.000000000
2259,F,33.0000,13424.500000000
2260,M,57.0000,16735.000000000
2261,F,32.0000,18989.000000000
2262,M,45.3333,18056.222222222
2263,F,47.0000,16468.000000000
2264,M,32.0000,14700.000000000
2265,F,47.0000,14583.000000000
2266,M,21.0000,17041.000000000
2267,F,57.0000,26953.000000000
2268,M,38.6667,19290.333333333
2269,M,52.0000,11221.000000000
2270,M,21.0000,20025.000000000
2271,M,32.0000,15581.000000000
2272,M,37.0000,19517.000000000
2273,F,47.0000,19067.000000000
2274,M,57.0000,14657.500000000
2275,M,47.0000,13869.000000000
2276,M,42.0000,14713.000000000
2277,M,32.0000,14757.666666666
2278,M,47.0000,19630.000000000
2279,M,37.0000,16585.500000000
2280,M,32.5000,15429.250000000
2281,M,45.5000,12807.750000000
2282,M,34.5000,12208.000000000
2283,M,21.0000,18071.000000000
2284,F,26.2500,13816.250000000
2285,M,21.0000,15613.000000000
2286,M,37.0000,13380.000000000
2287,M,32.0000,23257.000000000
2288,F,37.0000,19478.000000000
2289,F,37.0000,18838.000000000
2290,M,21.0000,19895.000000000
2291,M,32.0000,14512.000000000
2292,M,42.0000,15221.000000000
2293,F,27.0000,13338.000000000
2294,M,32.0000,17486.500000000
2295,M,27.0000,10511.000000000
2296,F,27.0000,16102.500000000
2297,F,37.0000,14128.000000000
2298,M,33.0000,18551.500000000
2299,F,57.0000,22496.000000000
2300,M,47.0000,12802.000000000
2301,M,27.0000,12511.000000000
2302,M,20.0000,11385.500000000
2303,M,32.0000,15169.000000000
2304,M,42.0000,11433.000000000
2305,F,27.0000,17607.000000000
2306,M,25.5000,20752.000000000
2307,M,42.0000,15124.000000000
2308,M,62.0000,15399.000000000
2309,M,42.0000,22419.000000000
2310,F,42.0000,19230.000000000
2311,M,27.0000,14273.000000000
2312,M,27.0000,14123.000000000
2313,F,43.0000,17910.500000000
2314,M,41.0000,16533.000000000
2316,M,42.0000,16767.500000000
2317,M,42.0000,13246.000000000
2318,F,42.0000,24626.500000000
2319,F,33.7500,19032.000000000
2320,M,42.0000,18523.000000000
2321,F,21.0000,16481.000000000
2322,M,42.0000,13494.000000000
2323,F,42.0000,17278.000000000
2324,M,42.0000,20850.000000000
2325,F,27.0000,16568.000000000
2326,M,21.6667,15968.666666666
2327,M,62.0000,20314.000000000
2329,M,35.3333,15946.333333333
2330,F,27.0000,17255.500000000
2331,F,52.0000,14700.000000000
2332,M,42.0000,13393.000000000
2333,F,37.0000,17348.000000000
2334,M,42.0000,18576.666666666
2335,M,32.0000,12176.000000000
2336,M,57.0000,15072.000000000
2337,M,37.8571,14187.285714285
2338,F,28.6667,17106.333333333
2339,F,37.0000,18622.000000000
2340,M,32.5000,14397.000000000
2341,M,25.5000,16201.500000000
2342,F,32.0000,20601.000000000
2343,M,39.5000,15932.500000000
2344,M,32.0000,12873.000000000
2345,F,27.0000,13740.000000000
2346,M,42.0000,12616.000000000
2347,M,37.0000,11470.000000000
2348,M,34.5000,13659.500000000
2349,M,40.4286,13782.285714285
2350,M,27.0000,21030.000000000
2351,F,52.0000,19988.000000000
2352,M,57.0000,14548.000000000
2353,M,57.0000,15718.000000000
2354,M,60.6667,11835.000000000
2355,M,52.0000,12994.000000000
2356,M,35.0000,18202.200000000
2357,F,32.0000,14109.000000000
2358,F,27.0000,16687.000000000
2359,M,47.0000,14106.000000000
2360,M,27.0000,18602.000000000
2361,M,37.0000,16402.000000000
2362,M,52.0000,16702.000000000
2363,M,27.0000,12606.000000000
2364,M,59.2000,15357.400000000
2365,F,40.7500,16183.750000000
2366,M,45.8000,17894.800000000
2367,F,42.0000,12585.000000000
2368,M,53.0000,19041.500000000
2369,F,42.0000,20481.000000000
2370,M,45.5000,15931.500000000
2371,M,47.0000,15437.000000000
2372,F,21.0000,21764.000000000
2373,M,42.0000,20714.000000000
2374,F,57.0000,13684.000000000
2375,M,37.0000,16794.000000000
2376,M,52.0000,13768.000000000
2377,F,32.0000,11687.000000000
2378,M,37.0000,14454.500000000
2379,F,37.0000,19243.000000000
2380,M,37.0000,16412.000000000
2381,F,42.0000,22166.000000000
2382,F,47.0000,17117.000000000
2383,F,60.5000,19302.500000000
2384,F,43.0000,18112.500000000
2385,M,37.0000,11715.000000000
2386,F,27.0000,16405.000000000
2388,F,44.2000,12343.400000000
2389,M,21.0000,11592.000000000
2390,M,32.0000,16487.000000000
2391,M,42.0000,11460.000000000
2392,M,42.0000,12079.000000000
2393,M,37.0000,16568.000000000
2394,F,47.0000,17108.500000000
2395,M,47.0000,15360.000000000
2396,M,37.0000,25483.000000000
2397,M,42.0000,11736.000000000
2398,M,47.0000,14283.000000000
2399,M,52.8000,15962.000000000
2400,M,47.0000,13736.000000000
2401,M,57.0000,14879.000000000
2402,M,42.4000,17595.400000000
2403,M,21.0000,14496.000000000
2404,M,27.0000,18515.000000000
2406,M,74.0000,15691.000000000
2407,M,37.0000,17238.000000000
2408,M,32.0000,19079.000000000
2409,M,55.7500,16889.500000000
2411,F,37.0000,16729.000000000
2412,M,27.0000,18019.500000000
2413,M,32.0000,16884.000000000
2414,M,27.0000,13460.000000000
2415,M,38.2500,13388.750000000
2416,M,21.0000,16368.000000000
2417,M,27.0000,13363.000000000
2418,M,32.0000,13545.000000000
2419,M,21.0000,12033.000000000
2420,M,42.0000,22597.000000000
2421,M,42.0000,16009.000000000
2422,M,37.0000,13601.000000000
2423,F,37.0000,19093.000000000
2424,M,25.5000,18195.500000000
2425,F,37.0000,15171.000000000
2427,M,35.7500,19665.250000000
2428,M,34.6250,15127.125000000
2429,M,57.0000,14647.000000000
2430,M,32.0000,10475.000000000
2431,F,47.0000,19537.000000000
2432,M,32.0000,15753.000000000
2433,F,27.0000,18039.500000000
2434,M,37.0000,25010.000000000
2435,M,44.8571,18914.000000000
2436,M,37.0000,14608.666666666
2437,F,21.0000,16506.000000000
2438,M,52.0000,17846.500000000
2439,M,32.0000,14287.000000000
2440,F,34.6667,14637.166666666
2441,F,47.0000,16923.000000000
2442,M,42.5000,15255.750000000
2443,M,32.0000,21600.000000000
2444,M,43.0000,16919.000000000
2445,M,33.7500,19452.000000000
2446,M,47.0000,11362.000000000
2447,M,32.0000,13468.000000000
2448,M,52.0000,17831.000000000
2449,M,45.5000,13763.500000000
2450,M,32.0000,14102.000000000
2451,M,27.0000,14951.000000000
2452,F,42.5000,16715.250000000
2453,M,37.0000,14468.000000000
2454,M,37.0000,14533.000000000
2455,M,35.1250,18770.500000000
2456,M,30.4000,16422.000000000
2457,M,52.0000,19968.000000000
2458,F,47.0000,19351.000000000
2459,M,27.0000,12517.000000000
2460,M,52.0000,13261.000000000
2461,F,37.0000,14505.000000000
2462,M,37.0000,17557.000000000
2463,F,21.0000,22069.000000000
2464,M,21.0000,21279.500000000
2465,M,21.0000,14041.000000000
2466,F,53.3333,15377.083333333
2467,M,27.0000,16691.000000000
2468,M,32.0000,14139.000000000
2469,M,32.0000,17178.000000000
2470,F,37.0000,16978.000000000
2471,M,32.0000,23782.000000000
2472,M,62.0000,18769.000000000
2473,M,27.0000,20483.000000000
2474,M,43.0000,16354.000000000
2475,F,33.0000,19277.500000000
2476,M,19.3333,13431.333333333
2477,M,21.0000,16216.000000000
2478,M,57.0000,13693.000000000
2479,M,35.5000,15751.500000000
2480,F,57.0000,19823.000000000
2481,F,47.0000,27909.000000000
2482,M,34.8571,14963.142857142
2483,M,29.5000,17931.000000000
2484,M,37.0000,21488.000000000
2485,M,42.0000,19179.000000000
2486,F,27.0000,15961.000000000
2487,M,63.0000,20099.000000000
2488,M,21.5000,12580.500000000
2489,M,47.0000,18357.000000000
2490,M,47.0000,15357.000000000
2491,M,21.0000,12548.000000000
2492,F,37.0000,15882.000000000
2493,M,37.0000,12418.000000000
2494,M,21.0000,12757.000000000
2495,F,32.0000,15314.000000000
2496,M,37.0000,19353.000000000
2497,M,37.0000,20272.500000000
2498,M,49.5000,13622.500000000
2499,M,37.0000,21600.000000000
2500,M,49.0000,15191.600000000
2501,M,45.2857,16982.285714285
2502,F,47.0000,18617.000000000
2503,M,27.0000,14574.000000000
2504,F,43.0000,19957.500000000
2505,F,43.0000,13760.500000000
2506,M,37.0000,11183.000000000
2507,M,57.0000,13144.000000000
2508,M,55.7143,16255.142857142
2509,F,33.0000,21327.500000000
2510,M,37.0000,21600.000000000
2511,F,35.3333,12945.666666666
2512,M,27.0000,18156.000000000
2513,F,21.0000,21361.000000000
2515,M,37.0000,13065.000000000
2516,F,42.0000,14741.000000000
2517,M,27.0000,16054.000000000
2518,M,39.3333,16431.000000000
2519,F,37.0000,17221.000000000
2520,M,27.0000,20786.000000000
2521,M,33.8333,16307.333333333
2522,M,32.0000,20575.000000000
2523,M,32.0000,12501.000000000
2524,M,62.0000,25321.000000000
2525,M,27.0000,12768.000000000
2526,M,21.0000,23553.000000000
2527,M,41.4000,13368.400000000
2528,F,22.0000,15247.666666666
2529,M,34.5000,14836.500000000
2530,M,47.2000,12866.000000000
2531,F,32.0000,11281.000000000
2532,M,32.0000,14396.000000000
2533,M,32.0000,13884.000000000
2534,M,42.0000,24271.000000000
2535,M,47.0000,16575.000000000
2536,M,47.0000,15773.000000000
2537,M,42.0000,11414.500000000
2538,M,47.0000,17169.000000000
2539,F,45.0000,12441.666666666
2540,M,27.0000,13454.000000000
2541,M,47.0000,22661.000000000
2542,M,37.0000,15590.000000000
2543,M,62.0000,21090.000000000
2544,M,42.6667,17299.666666666
2545,F,23.5714,18490.714285714
2546,M,37.0000,14056.000000000
2547,M,42.0000,17400.000000000
2548,F,26.6250,19127.750000000
2549,F,37.1250,16640.625000000
2550,F,32.0000,19662.800000000
2551,M,32.0000,20712.000000000
2552,M,47.0000,12381.000000000
2553,F,32.0000,19187.000000000
2554,M,27.0000,14739.000000000
2555,M,32.0000,12260.000000000
2556,F,62.0000,20092.000000000
2557,M,27.0000,24387.000000000
2558,M,42.6667,16799.000000000
2559,M,57.0000,12719.000000000
2560,M,37.0000,17175.333333333
2561,M,42.0000,17408.000000000
2562,M,42.0000,17079.000000000
2563,F,42.6667,16470.333333333
2564,M,27.0000,19952.500000000
2565,F,42.0000,31597.000000000
2566,M,32.0000,16500.000000000
2567,F,32.0000,20542.000000000
2568,M,37.0000,14924.000000000
2569,M,21.0000,19913.000000000
2570,M,27.0000,10671.000000000
2571,F,21.0000,13548.000000000
2572,M,57.0000,14446.000000000
2573,F,32.0000,17160.000000000
2574,M,47.0000,15827.000000000
2575,M,32.0000,18764.333333333
2576,M,47.0000,13335.000000000
2577,M,27.0000,18983.000000000
2578,M,37.0000,18494.000000000
2579,F,32.0000,16180.500000000
2580,M,42.0000,15366.000000000
2581,M,62.0000,26686.000000000
2582,F,26.0000,18038.000000000
2583,M,32.0000,22381.000000000
2584,F,32.0000,18339.500000000
2585,F,21.0000,17671.000000000
2586,M,44.5000,15834.750000000
2587,M,40.1000,16961.900000000
2588,F,32.0000,16457.000000000
2589,F,27.0000,20055.000000000
2590,M,42.0000,14517.000000000
2591,M,32.0000,13810.000000000
2592,M,42.0000,17387.000000000
2593,F,41.5556,11997.666666666
2594,M,37.0000,21600.000000000
2595,M,32.0000,12832.000000000
2596,M,47.0000,14648.666666666
2597,M,32.0000,14337.000000000
2598,M,47.0000,14920.000000000
2599,M,32.0000,20561.000000000
2600,F,27.0000,13552.500000000
2601,F,27.0000,16764.000000000
2602,M,55.8000,16444.000000000
2603,M,33.3333,17689.000000000
2604,M,52.0000,21449.000000000
2606,M,32.0000,19130.000000000
2607,M,47.0000,14319.000000000
2608,M,40.3333,17134.666666666
2609,M,27.0000,18031.000000000
2610,F,21.0000,19201.000000000
2611,M,37.0000,16247.000000000
2612,M,33.3333,13300.222222222
2613,F,37.0000,17663.500000000
2614,F,45.2857,17353.714285714
2615,F,35.5000,17973.000000000
2616,M,43.0909,13319.181818181
2617,M,32.0000,17027.000000000
2618,M,47.0000,16168.000000000
2619,F,21.0000,14818.000000000
2620,M,32.0000,14027.000000000
2621,M,35.0000,11210.000000000
2622,M,24.5000,15457.833333333
2623,M,52.0000,21081.000000000
2624,F,32.0000,17158.333333333
2625,M,46.2500,12381.250000000
2626,M,21.0000,15462.000000000
2627,M,37.0000,19622.000000000
2628,F,21.0000,21600.000000000
2629,F,32.0000,15551.000000000
2630,F,37.0000,16334.000000000
2631,M,42.0000,11637.000000000
2632,M,37.0000,18065.000000000
2633,M,32.0000,12969.000000000
2634,M,25.0000,16562.500000000
2635,M,42.0000,14198.000000000
2636,M,27.0000,11836.000000000
2637,M,47.0000,14736.000000000
2639,F,42.0000,21600.000000000
2640,M,27.0000,13743.500000000
2641,F,37.0000,17109.000000000
2642,M,57.0000,15164.000000000
2643,M,57.0000,17351.000000000
2644,M,27.0000,21417.000000000
2645,M,21.0000,15439.000000000
2646,M,44.7500,13834.000000000
2647,F,47.0000,18731.000000000
2648,F,42.6667,19738.333333333
2649,M,42.0000,14851.000000000
2651,M,32.0000,11545.000000000
2652,M,37.0000,24187.000000000
2653,M,32.0000,17495.000000000
2654,M,27.0000,20092.000000000
2655,F,37.0000,19005.000000000
2656,M,52.6667,15915.500000000
2657,M,47.0000,16222.400000000
2658,F,27.0000,15231.000000000
2659,M,42.0000,16956.000000000
2660,M,46.0000,15167.333333333
2661,F,27.0000,15202.000000000
2662,F,21.0000,23745.000000000
2663,M,57.0000,19931.000000000
2664,M,52.0000,18411.000000000
2665,M,47.0000,14527.000000000
2666,M,37.0000,17829.800000000
2667,M,27.0000,21468.000000000
2668,M,47.0000,15511.000000000
2669,M,21.0000,22444.000000000
2670,M,21.0000,11143.000000000
2671,F,42.0000,14389.000000000
2672,M,41.0000,16156.000000000
2673,M,32.0000,13086.000000000
2674,M,27.0000,18230.000000000
2675,M,37.0000,16336.000000000
2676,F,42.0000,21600.000000000
2677,F,41.6923,17214.769230769
2678,M,46.0000,15247.833333333
2679,M,37.0000,20941.000000000
2680,F,21.5000,16816.500000000
2681,M,47.0000,15281.000000000
2682,F,53.0000,15084.000000000
2683,M,45.8000,12867.200000000
2684,F,45.2857,15738.142857142
2685,M,37.0000,15547.000000000
2686,M,42.0000,21627.000000000
2687,M,32.0000,15953.000000000
2688,M,37.0000,18911.333333333
2689,F,50.6667,15814.333333333
2690,M,47.0000,14335.833333333
2691,M,47.0000,15946.500000000
2692,M,47.0000,17816.000000000
2693,M,62.0000,17364.000000000
2694,F,21.0000,15500.000000000
2695,M,27.0000,16833.000000000
2696,M,42.0000,15050.000000000
2697,F,21.0000,17551.000000000
2698,M,47.0000,20846.000000000
2699,F,42.0000,24602.500000000
2700,M,37.0000,22706.000000000
2701,M,57.0000,19681.500000000
2702,F,32.0000,15811.000000000
2703,M,37.0000,15131.000000000
2704,F,27.0000,14605.000000000
2705,M,52.0000,16677.000000000
2706,M,21.0000,12358.000000000
2707,M,53.0000,16607.500000000
2708,M,21.0000,15054.000000000
2709,M,42.0000,13084.000000000
2710,M,27.0000,11914.000000000
2711,M,37.0000,12396.000000000
2712,M,37.0000,22422.000000000
2713,M,29.3333,15086.666666666
2714,M,26.2500,19112.500000000
2715,M,19.0000,15007.500000000
2716,F,27.0000,14807.000000000
2717,M,37.0000,20524.000000000
2718,F,28.2500,19847.750000000
2719,M,37.0000,20398.000000000
2720,F,52.0000,18198.750000000
2721,M,33.0000,18879.000000000
2722,M,21.0000,14672.000000000
2723,M,27.0000,14244.000000000
2724,M,32.0000,10870.000000000
2725,M,47.0000,20369.000000000
2726,M,43.3333,10310.666666666
2727,F,32.0000,15236.000000000
2728,M,27.0000,14125.000000000
2729,M,27.0000,13693.000000000
2731,F,42.7143,17353.000000000
2732,F,52.0000,17551.000000000
2733,M,52.0000,14251.000000000
2734,F,52.0000,23861.000000000
2735,M,21.3333,11912.333333333
2736,F,21.0000,18622.000000000
2737,F,32.0000,18947.000000000
2738,M,42.0000,13255.000000000
2739,F,32.0000,16566.000000000
2740,F,37.0000,19673.000000000
2741,F,21.0000,21609.000000000
2742,M,37.0000,13140.000000000
2743,F,27.0000,25527.000000000
2744,M,37.0000,16539.000000000
2745,M,39.2500,17854.750000000
2746,M,37.5000,14171.750000000
2748,M,35.5000,12090.500000000
2749,F,37.0000,14378.000000000
2750,F,30.3333,15396.000000000
2751,M,21.5000,12273.000000000
2752,M,32.0000,15761.000000000
2753,M,32.0000,17214.666666666
2754,M,47.0000,20551.000000000
2756,M,47.0000,16801.000000000
2757,M,46.2500,15844.000000000
2758,M,52.0000,13387.000000000
2759,M,37.0000,15222.000000000
2760,M,42.5000,14991.500000000
2761,M,53.0000,13445.500000000
2762,M,21.0000,20941.000000000
2763,M,34.5000,14711.000000000
2764,F,27.0000,15753.000000000
2765,M,45.2000,16715.100000000
2766,M,64.5000,12367.000000000
2767,F,32.0000,17982.000000000
2768,M,37.0000,14482.333333333
2769,M,47.0000,15834.000000000
2770,M,55.5000,16235.000000000
2771,M,37.0000,21600.000000000
2772,M,42.0000,14240.000000000
2773,M,41.5714,16120.714285714
2775,M,47.0000,20152.000000000
2777,F,31.0000,17682.666666666
2778,M,42.0000,18716.500000000
2779,F,37.8000,17589.800000000
2780,M,52.0000,21577.000000000
2781,M,37.0000,19012.000000000
2782,M,21.0000,15518.000000000
2783,M,27.0000,13948.000000000
2784,M,27.0000,13472.000000000
2785,F,47.0000,21687.000000000
2786,M,42.8000,17122.400000000
2787,M,21.0000,18957.000000000
2788,M,21.0000,12606.000000000
2789,M,27.0000,14672.000000000
2790,M,52.0000,14264.000000000
2791,M,32.0000,13975.333333333
2792,M,47.0000,19315.600000000
2793,M,37.0000,12322.000000000
2794,M,27.0000,9976.000000000
2795,M,32.0000,13370.000000000
2796,M,16.0000,19508.000000000
2797,F,32.0000,16583.000000000
2798,M,32.0000,11691.000000000
2799,F,27.0000,21573.000000000
2800,M,32.0000,21557.000000000
2801,M,47.0000,16937.000000000
2802,F,41.2857,14044.000000000
2803,M,21.6667,16688.666666666
2804,M,52.3333,17809.666666666
2805,M,21.0000,13390.000000000
2806,M,44.3333,15552.000000000
2807,M,32.0000,16146.000000000
2808,M,27.0000,12106.000000000
2809,M,28.2500,14141.500000000
2810,M,67.0000,18113.000000000
2811,M,45.3333,16353.666666666
2812,M,21.0000,15533.500000000
2813,M,42.0000,12220.000000000
2814,M,52.0000,15797.000000000
2815,M,32.0000,17395.000000000
2816,M,36.2500,12505.500000000
2817,F,32.0000,12545.000000000
2818,M,37.0000,13652.000000000
2819,F,55.6250,14372.000000000
2820,M,52.0000,19111.500000000
2821,M,67.0000,24967.000000000
2822,M,37.0000,12061.000000000
2823,F,37.0000,14547.000000000
2824,M,42.0000,13717.000000000
2825,M,32.0000,15321.500000000
2826,M,42.0000,12103.000000000
2827,M,40.3333,14084.333333333
2828,F,29.3333,13268.666666666
2829,M,55.5000,18214.500000000
2830,M,57.0000,18073.000000000
2831,M,48.5000,13761.666666666
2832,M,37.2500,12206.500000000
2833,M,42.0000,11785.000000000
2834,F,41.4000,21172.200000000
2835,M,32.0000,18426.000000000
2836,F,42.0000,14159.000000000
2837,M,47.0000,17091.000000000
2838,M,32.0000,17111.000000000
2839,M,21.0000,15776.000000000
2840,F,35.5000,16584.000000000
2841,M,21.0000,16368.000000000
2842,M,37.0000,13035.000000000
2843,M,37.0000,13315.000000000
2844,M,42.0000,23610.000000000
2845,M,37.0000,16870.500000000
2846,F,36.8000,15653.400000000
2847,M,42.0000,15248.500000000
2848,M,42.0000,19417.000000000
2849,M,52.0000,21455.000000000
2850,M,62.0000,16484.000000000
2851,F,37.0000,18440.000000000
2852,M,32.0000,11834.000000000
2853,F,45.5000,14190.500000000
2854,F,42.0000,15805.000000000
2855,M,37.0000,16597.000000000
2856,M,32.0000,14265.000000000
2857,M,21.0000,15965.000000000
2858,F,27.0000,17781.333333333
2859,M,42.6667,15398.000000000
2860,M,21.0000,14686.000000000
2861,M,62.0000,11711.000000000
2862,M,21.0000,13626.000000000
2863,M,42.7500,16413.125000000
2865,F,27.0000,20188.000000000
2866,M,20.5000,12025.000000000
2867,M,27.0000,18069.000000000
2868,F,34.6000,12816.000000000
2869,M,52.0000,14456.500000000
2870,F,42.0000,14370.000000000
2871,M,32.0000,21600.000000000
2872,M,62.0952,15798.380952380
2873,M,37.0000,18396.000000000
2874,M,57.0000,14383.000000000
2875,M,46.2500,16241.500000000
2876,F,21.0000,14309.000000000
2877,M,47.0000,13021.000000000
2878,M,57.0000,14131.000000000
2879,F,57.0000,15594.000000000
2880,M,32.0000,12589.000000000
2881,F,36.0000,21373.666666666
2882,M,32.0000,15107.500000000
2883,M,46.0000,15826.705882352
2884,M,27.0000,19862.000000000
2885,M,34.4000,17356.600000000
2886,M,43.8333,12252.166666666
2887,M,52.0000,12513.000000000
2888,M,52.0000,13776.000000000
2889,F,38.8000,17096.800000000
2890,M,57.0000,14094.000000000
2891,M,27.0000,16008.000000000
2892,M,52.0000,14948.000000000
2893,M,21.0000,17639.000000000
2894,F,21.0000,10674.000000000
2895,F,27.5000,15884.875000000
2896,M,47.0000,14059.000000000
2897,M,25.5000,10256.500000000
2898,M,53.0000,14203.000000000
2899,M,32.0000,16833.000000000
2900,M,44.0000,15483.000000000
2901,F,52.0000,12101.000000000
2902,M,49.8000,13088.800000000
2903,M,21.0000,17671.500000000
2904,M,37.0000,12396.000000000
2905,M,32.0000,12803.000000000
2906,F,32.5000,16781.750000000
2907,F,21.0000,17883.000000000
2908,F,44.5000,15428.500000000
2909,M,27.0000,16052.000000000
2910,M,47.2857,16319.714285714
2911,F,53.0000,14050.500000000
2912,M,52.0000,14370.500000000
2913,F,43.7500,16412.750000000
2914,M,42.5714,18361.714285714
2915,M,37.0000,21600.000000000
2916,M,35.5000,11783.500000000
2917,M,47.0000,15570.000000000
2918,M,32.0000,20738.000000000
2919,M,32.0000,13835.000000000
2920,M,51.1667,19249.000000000
2921,F,32.0000,15232.000000000
2922,F,27.0000,23851.000000000
2923,M,21.0000,15253.000000000
2924,M,51.4286,13588.571428571
2925,F,27.0000,16743.000000000
2926,M,21.0000,17377.000000000
2927,M,32.0000,15069.000000000
2928,M,21.0000,14176.000000000
2929,F,39.5000,14082.000000000
2930,M,35.0000,12130.333333333
2931,M,27.0000,16499.000000000
2932,F,27.0000,20170.000000000
2933,M,27.0000,18913.000000000
2934,M,27.0000,18009.000000000
2935,M,32.0000,19601.000000000
2936,M,39.0000,13967.500000000
2937,F,42.0000,18195.000000000
2938,M,37.0000,19811.000000000
2939,M,32.0000,15046.000000000
2940,M,32.0000,17372.000000000
2941,M,42.0000,16442.000000000
2942,M,56.4000,17725.600000000
2943,M,57.0000,15299.000000000
2944,F,21.0000,19509.000000000
2945,M,47.0000,17160.000000000
2947,M,37.0000,16588.000000000
2948,M,21.0000,16166.000000000
2949,M,35.5000,13920.500000000
2950,F,21.0000,14063.666666666
2951,M,43.0000,14519.200000000
2952,M,52.0000,12309.000000000
2953,F,42.0000,12344.000000000
2954,M,34.5000,14208.000000000
